day,idx,date,count,tavg,prcp,snow,wspd,holiday,std dev
7,114,7/13/2024,18,78.8,1.598,0,7.6,,
1,115,7/14/2024,25,75.7,1.642,0,8.9,,
2,116,7/15/2024,5,79,0.531,0,8.1,,
3,117,7/16/2024,21,77.4,0,0,8.1,,
4,118,7/17/2024,16,76.6,0,0,10.9,,
5,119,7/18/2024,44,69.1,0,0,9.2,,
6,120,7/19/2024,24,69.4,0,0,6.3,,
7,121,7/20/2024,19,72.5,0,0,3.8,,
1,122,7/21/2024,98,74.5,0,0,4.5,,
2,123,7/22/2024,16,74.1,0,0,4,,
3,124,7/23/2024,28,75.9,0.201,0,6.5,,
4,125,7/24/2024,17,71.8,0,0,6.7,,
5,126,7/25/2024,24,70.7,0,0,7.4,,
6,127,7/26/2024,21,71.1,0,0,5.8,,
7,128,7/27/2024,12,74.8,0,0,6,,
1,129,7/28/2024,43,76.5,0.031,0,7.8,,
2,130,7/29/2024,17,76.3,0.11,0,6.7,,
3,131,7/30/2024,22,78.4,0,0,4.2,,
4,132,7/31/2024,32,81,0,0,5.2,,
5,133,8/1/2024,26,80.8,0.512,0,4.9,,
6,134,8/2/2024,33,76.3,0,0,8.1,,
7,135,8/3/2024,32,80.4,0,0,6,,
1,136,8/4/2024,20,80.4,0,0,4.7,,
2,137,8/5/2024,11,81.1,0,0,8.1,,
3,138,8/6/2024,11,72,0.339,0,14.1,,
4,139,8/7/2024,10,72,0,0,10.8,,
5,140,8/8/2024,15,72,0,0,5.6,,
6,141,8/9/2024,25,69.3,0,0,9.8,,
7,142,8/10/2024,51,65.1,0,0,10.5,,
1,143,8/11/2024,34,68.5,0,0,7.4,,
2,144,8/12/2024,30,71.1,0,0,4.5,,
3,145,8/13/2024,9,74.1,0,0,4.7,,
4,146,8/14/2024,36,76.3,0,0,6,,
5,147,8/15/2024,16,73.2,0.252,0,10.3,,
6,148,8/16/2024,38,75.4,0.22,0,9.2,,
7,149,8/17/2024,31,74.1,0.169,0,8.3,,
1,150,8/18/2024,17,72,0.012,0,12.6,,
2,151,8/19/2024,24,70.9,0,0,13.4,,
3,152,8/20/2024,27,66.9,0,0,8.1,,
4,153,8/21/2024,59,65.1,0,0,4.5,,
5,154,8/22/2024,30,66.4,0,0,3.4,,
6,155,8/23/2024,18,70.5,0,0,4.9,,
7,156,8/24/2024,24,76.3,0,0,4,,
1,157,8/25/2024,12,81.9,0,0,9.6,,
2,158,8/26/2024,15,85.8,0,0,10.5,,
3,159,8/27/2024,13,87.6,0.642,0,8.5,,
4,160,8/28/2024,25,76.8,0.181,0,8.5,,
5,161,8/29/2024,11,76.1,0,0,7.6,,
6,162,8/30/2024,15,77.2,0.28,0,7.4,,
7,163,8/31/2024,18,73.8,0,0,5.8,,
1,164,9/1/2024,40,72.1,0,0,11.4,,
2,165,9/2/2024,0,66.4,0,0,5.3,labor day,
3,166,9/3/2024,13,66.9,0,0,5.6,,
4,167,9/4/2024,16,70,0,0,5.3,,
5,168,9/5/2024,25,75,0.039,0,6.5,,
6,169,9/6/2024,51,68.2,0,0,11.6,,
7,170,9/7/2024,26,57.9,0,0,8.9,,
1,171,9/8/2024,44,59,0,0,8.1,,
2,172,9/9/2024,35,67.3,0,0,8.7,,
3,173,9/10/2024,23,70,0,0,5.8,,
4,174,9/11/2024,27,72.7,0,0,3.4,,
5,175,9/12/2024,28,75.2,0,0,7,,
6,176,9/13/2024,35,75.9,0,0,8.5,,
7,177,9/14/2024,34,77,0,0,5.3,,
1,178,9/15/2024,27,77.4,0,0,5.3,,
2,179,9/16/2024,6,76.6,0,0,5.8,,
3,180,9/17/2024,15,74.1,0,0,4.9,,
4,181,9/18/2024,21,72.5,0,0,3.1,,
5,182,9/19/2024,36,75.4,0,0,5.2,,
6,183,9/20/2024,16,78.8,0.02,0,7.8,,
7,184,9/21/2024,0,77.4,0,0,5.3,,
1,185,9/22/2024,27,73.8,0.799,0,8.5,,
2,186,9/23/2024,29,64.6,0.02,0,9.4,,
3,187,9/24/2024,22,64.4,0.429,0,6,,
4,188,9/25/2024,16,65.5,0,0,4.2,,
5,189,9/26/2024,41,66.6,0,0,7.1,,
6,190,9/27/2024,10,68.5,0,0,20.6,,
7,191,9/28/2024,39,68.9,0,0,17.6,,
1,192,9/29/2024,48,70,0.012,0,13.2,,
2,193,9/30/2024,10,70.9,0,0,6,,
3,194,10/1/2024,16,66.6,0,0,10.9,,
4,195,10/2/2024,1,59.4,0,0,5.8,,
5,196,10/3/2024,30,63.9,0,0,6.7,,
6,197,10/4/2024,5,63.9,0.012,0,9.4,,
7,198,10/5/2024,49,66.7,0,0,12.7,,
1,199,10/6/2024,43,72,0,0,12.3,,
2,200,10/7/2024,11,58.1,0,0,6.7,,
3,201,10/8/2024,14,59.4,0,0,6.7,,
4,202,10/9/2024,6,60.3,0,0,7.1,,
5,203,10/10/2024,39,61.7,0,0,4.5,,
6,204,10/11/2024,21,65.5,0,0,9.4,,
7,205,10/12/2024,29,66.2,0,0,12.7,yom kimpur,
1,206,10/13/2024,20,60.1,0,0,14.5,,
2,207,10/14/2024,15,51.4,0.02,0,11.9,columbus day,
3,208,10/15/2024,12,45,0.272,0,13.7,,
4,209,10/16/2024,13,46,0,0,5.8,,
5,210,10/17/2024,17,49.5,0,0,7.1,,
6,211,10/18/2024,25,54.7,0,0,6.7,,
7,212,10/19/2024,19,57.7,0,0,6.3,,
1,213,10/20/2024,22,62.1,0,0,9.4,,
2,214,10/21/2024,30,66.9,0,0,7.6,,
3,215,10/22/2024,17,65.1,0.012,0,10.1,,
4,216,10/23/2024,13,62.2,0,0,8.5,,
5,217,10/24/2024,17,52,0.209,0,6.7,,
6,218,10/25/2024,40,56.3,0.63,0,8.1,,
7,219,10/26/2024,26,51.4,0,0,6.7,,
1,220,10/27/2024,40,47.8,0,0,4.7,,
2,221,10/28/2024,7,52.3,0,0,10.5,,
3,222,10/29/2024,11,71.2,0,0,17.2,,
4,223,10/30/2024,10,73.6,0,0,17.9,,
5,224,10/31/2024,15,65.7,0.031,0,19,"diwali, halloween",
6,225,11/1/2024,9,45.7,0,0,4.7,,
7,226,11/2/2024,8,46,0,0,6.3,,
1,227,11/3/2024,52,53.2,0.02,0,11.4,,
2,228,11/4/2024,13,64.8,0.579,0,11.6,,
3,229,11/5/2024,2,64.8,1.28,0,13.9,election day,
4,230,11/6/2024,31,55.2,0,0,7.8,,
5,231,11/7/2024,13,51.1,0,0,6,,
6,232,11/8/2024,14,51.3,0,0,8.5,,
7,233,11/9/2024,11,50.9,0.201,0,8.7,,
1,234,11/10/2024,22,53.2,0.079,0,11.4,,
2,235,11/11/2024,28,52.9,0,0,13,veterans day,
3,236,11/12/2024,9,45,0,0,10.3,,
4,237,11/13/2024,8,45,0.571,0,9.6,,
5,238,11/14/2024,36,50.5,0.11,0,7.4,,
6,239,11/15/2024,38,49.6,0,0,4.5,,
7,240,11/16/2024,28,47.1,0,0,7.8,,
1,241,11/17/2024,37,50.5,0.031,0,7.4,,
2,242,11/18/2024,9,53.2,0.421,0,8.9,,
3,243,11/19/2024,13,59.5,0.059,0,14.5,,
4,244,11/20/2024,12,45.3,0,0,13.2,,
5,245,11/21/2024,19,33.1,0.28,0,14.3,,
6,246,11/22/2024,25,41.5,0,0,13,,
7,247,11/23/2024,31,41.4,0,0,8.3,,
1,248,11/24/2024,12,41.4,0,0,7.6,,
2,249,11/25/2024,6,49.3,0,0,8.9,,
3,250,11/26/2024,9,34.2,0,0,9.6,,
4,251,11/27/2024,12,37.9,0,0,6.3,,
5,252,11/28/2024,0,31.8,0,0,12.3,thanksgiving,
6,253,11/29/2024,13,25,0,0,13.2,black friday,
7,254,11/30/2024,18,19.2,0,0,10.9,,
1,255,12/1/2024,23,21,0,0,8.3,,
2,256,12/2/2024,26,19.4,0,0,5.8,,
3,257,12/3/2024,12,21.2,0,0,10.9,,
4,258,12/4/2024,20,29.5,0,0,18.3,,
5,259,12/5/2024,29,20.3,0,0,13.4,,
6,260,12/6/2024,41,22.3,0,0,9.6,,
7,261,12/7/2024,43,32.7,0,0,13.4,,
1,262,12/8/2024,15,46.2,0,0,9.6,,
2,263,12/9/2024,8,48.9,0,0,10.8,,
3,264,12/10/2024,3,37.6,0,2.008,9.6,,
4,265,12/11/2024,17,29.1,0,0,13.9,,
5,266,12/12/2024,16,11.1,0,0,10.5,,
6,267,12/13/2024,26,14.5,0,0,7.8,,
7,268,12/14/2024,36,30,0.331,0,11.6,,
1,269,12/15/2024,23,40.3,0.051,0,5.8,,
2,270,12/16/2024,22,45.3,0.031,0,10.9,,
3,271,12/17/2024,23,37,0,0,8.1,,
4,272,12/18/2024,15,32.7,0,0,9.6,,
5,273,12/19/2024,35,27.9,0.091,0,8.1,,
6,274,12/20/2024,26,32.4,0.079,2.008,14.1,,
7,275,12/21/2024,31,21.6,0,2.008,5.8,,
1,276,12/22/2024,91,22.3,0,0.984,8.7,,
2,277,12/23/2024,32,34.7,0,0.984,10.3,,
3,278,12/24/2024,0,36,0,0,8.1,christmas eve,
4,279,12/25/2024,0,34.5,0,0,6.3,christmas day,
5,280,12/26/2024,13,41.4,0.051,0,6.7,hanukkah,
6,281,12/27/2024,34,47.1,0.26,0,9.2,,
7,282,12/28/2024,34,49.8,0,0,10.5,,
1,283,12/29/2024,24,43.9,0.469,0,10.5,,
2,284,12/30/2024,14,36.7,0,0,4.9,,
3,285,12/31/2024,4,38.8,0.571,0,14.9,new years eve,
4,286,1/1/2025,0,31.3,0,0,13.2,new years day,
5,287,1/2/2025,19,27,0.012,0,9.2,,
6,288,1/3/2025,13,24.4,0,0,11.9,,
7,289,1/4/2025,29,18.3,0,0,9.4,,
1,290,1/5/2025,25,18.1,0,0,9.2,,
2,291,1/6/2025,2,23.9,0.012,0,15,,
3,292,1/7/2025,4,21.6,0,0,6.7,,
4,293,1/8/2025,2,19.9,0,0,5.8,,
5,294,1/9/2025,23,20.1,0,0,8.3,,
6,295,1/10/2025,14,25,0.13,0,7.8,,
7,296,1/11/2025,24,28.4,0,2.008,8.9,,
1,297,1/12/2025,46,29.8,0.031,0.984,13.9,,
2,298,1/13/2025,22,17.2,0,0.984,12.7,,
3,299,1/14/2025,18,14.2,0.012,0.984,9.2,,
4,300,1/15/2025,6,10.9,0,0.984,9.6,,
5,301,1/16/2025,10,25.5,0.012,0.984,10.5,,
6,302,1/17/2025,6,34.9,0,0,13.2,,
7,303,1/18/2025,11,34,0,0,13.4,,
1,304,1/19/2025,30,11.7,0,0,12.7,,
2,305,1/20/2025,0,3.6,0,0,11.9,mlk day,
3,306,1/21/2025,2,-1.1,0,0,12.6,,
4,307,1/22/2025,14,8.2,0.02,0,13,,
5,308,1/23/2025,5,20.5,0.012,0.984,10.1,,
6,309,1/24/2025,17,10.8,0,0,8.7,,
7,310,1/25/2025,32,27.3,0,0,14.3,,
1,311,1/26/2025,87,25.9,0,0,8.1,,
2,312,1/27/2025,18,27.1,0,0,15,,
3,313,1/28/2025,27,37.8,0,0,13.7,,
4,314,1/29/2025,24,42.4,0,0,10.9,,
5,315,1/30/2025,32,37.9,0.512,0,7.4,,
6,316,1/31/2025,37,39.2,1.24,0,16.3,,
7,317,2/1/2025,32,31.8,0,0,13.9,,
1,318,2/2/2025,56,35.6,0,0,7.6,,
2,319,2/3/2025,19,39.6,0,0,10.9,,
3,320,2/4/2025,30,28.8,0,0,13.9,,
4,321,2/5/2025,14,26.4,0.051,0,11.9,,
5,322,2/6/2025,15,31.5,0,0,13,,
6,323,2/7/2025,19,26.4,0,0,6.5,,
7,324,2/8/2025,38,29.8,0.012,0,9.2,,
1,325,2/9/2025,0,28,0,0,7.8,super bowl,
2,326,2/10/2025,21,25.2,0,0,4.7,,
3,327,2/11/2025,5,25,0,0,13.9,,
4,328,2/12/2025,11,24.4,0.181,0,11.9,,
5,329,2/13/2025,19,20.3,0,3.15,12.7,,
6,330,2/14/2025,29,12,0.15,1.969,9.2,valentines day,
7,331,2/15/2025,39,28.8,0.02,3.15,8.7,,
1,332,2/16/2025,50,27.1,0,3.15,15.2,,
2,333,2/17/2025,2,8.4,0,3.15,11.6,presidents day,
3,334,2/18/2025,14,3.4,0,3.15,8.9,,
4,335,2/19/2025,12,8.6,0,1.969,8.9,,
5,336,2/20/2025,13,12.4,0,1.969,9.6,,
6,337,2/21/2025,17,18.1,0,1.969,7.6,,
7,338,2/22/2025,11,22.6,0,1.969,11.2,,
1,339,2/23/2025,20,31.8,0,1.181,7.1,,
2,340,2/24/2025,10,43.3,0,0,11.9,,
3,341,2/25/2025,13,46.9,0.02,0,5.3,,
4,342,2/26/2025,10,42.3,0.079,0,8.1,,
