day,idx,date,count,tavg,prcp,snow,wspd,holiday,std dev
5,497,7/31/2025,41,70.7,0.047,0,16.7,,
6,498,8/1/2025,24,68.7,0,0,10.4,,
7,499,8/2/2025,87,69.8,0,0,6.8,,
1,500,8/3/2025,34,71.1,0,0,6.6,,
2,501,8/4/2025,16,72.9,0,0,7,,
3,502,8/5/2025,10,75.4,0,0,7.1,,
4,503,8/6/2025,30,77.2,0,0,5.8,,1.97
5,504,8/7/2025,26,79.2,0,0,6.2,,1.55
6,505,8/8/2025,21,81.1,0,0,7.8,,2.1
7,506,8/9/2025,17,82.2,0.22,0,9,,2.92
1,507,8/10/2025,18,80.2,0.05,0,8.6,,1.8
2,508,8/11/2025,20,77.2,0.05,0,8.3,,2.02
3,509,8/12/2025,23,75.7,0,0,8.2,,1.75
4,510,8/13/2025,23,75,0,0,7.4,,1.71
5,511,45883,26,74.5,0,0,7.7,,1.12
6,512,45884,22,76.5,0,0,6,,0.96
7,513,45885,20,76,0,0,5,,0.43
1,514,45886,38,75.5,0,0,7,,4.32
2,515,45887,17,76.5,0.41,0,5,,2.05
3,516,45888,16,70.5,0,0,4,,1.11
4,517,45889,23,74,0,0,8,,1.34
5,518,45890,26,72.5,0,0,7,,0.75
6,519,45891,22,72.5,0,0,4,,1.07
7,520,45892,17,74,0,0,6,,0.55
1,521,45893,39,74,0,0,7,,4.27
2,522,45894,26,74,0.06,0,9,,0.83
3,523,45895,24,74,0.21,0,7,,1.97
4,524,45896,25,71.5,0.04,0,5,,2.4
5,525,45897,25,71,0,0,8,,1.62
6,526,45898,21,70.5,0,0,6,,0.95
7,527,45899,16,72,0,0,6,,0.49
1,528,45900,35,72.5,0,0,1,,6.92
2,529,45901,5,73,0,0,2,labor day,1.48
3,530,45902,20,72,0,0,7,,1.78
4,531,45903,22,71.5,0.13,0,9,,1.59
5,532,45904,30,72,0,0,5,,1.03
6,533,45905,21,70.5,0,0,5,,0.95
7,534,45906,17,71,0,0,4,,1.14
1,535,45907,33,71,0.32,0,7,,3.13
2,536,45908,29,69.5,0.06,0,8,,1.37
3,537,45909,15,68,0,0,4,,0.64
4,538,45910,20,70.5,0,0,5,,1.34
5,539,45911,29,69,0,0,6,,1.11
6,540,45912,20,70,0.15,0,4,,2.8
7,541,45913,25,69,0,0,8,,2.55
1,542,45914,49,70,0.05,0,4,,7.65
2,543,45915,18,56.5,0,0,10,,1.79
3,544,45916,21,57,0,0,2,,3.53
4,545,45917,19,58.5,0.08,0,5,,2.98
5,546,45918,21,59.5,0.56,0,8,,1.64
6,547,45919,18,61,0.1,0,9,,2.3
